dgp,alpha,N,R,method,quantity,nominal,coverage,acd,rcd,mc_se,ci95_lo,ci95_hi,ci_method,repetitions
beta_tight_normal_support_probs,0.05,1000,25,fkrb,mean_1,0.9500,0.964000,+0.014000,+0.014737,0.011806,0.933010,0.980947,wilson,250
beta_tight_normal_support_probs,0.05,1000,25,fkrb,mean_2,0.9500,0.916000,-0.034000,-0.035789,0.017579,0.875005,0.944404,wilson,250
beta_tight_normal_support_probs,0.05,1000,25,cp_wald,theta,0.9500,0.999680,+0.049680,+0.052295,0.000226,0.999200,1.000000,bootstrap,250
beta_tight_normal_support_probs,0.05,1000,25,cp_wald,mean_1,0.9500,1.000000,+0.050000,+0.052632,0.000000,0.984867,1.000000,wilson,250
beta_tight_normal_support_probs,0.05,1000,25,cp_wald,mean_2,0.9500,1.000000,+0.050000,+0.052632,0.000000,0.984867,1.000000,wilson,250
beta_tight_normal_support_probs,0.05,1000,25,qlr,theta,0.9500,0.990400,+0.040400,+0.042526,0.001448,0.987520,0.993120,bootstrap,250
beta_tight_normal_support_probs,0.05,1000,25,qlr,mean_1,0.9500,0.988000,+0.038000,+0.040000,0.006900,0.965319,0.995911,wilson,250
beta_tight_normal_support_probs,0.05,1000,25,qlr,mean_2,0.9500,0.992000,+0.042000,+0.044211,0.005645,0.971305,0.997803,wilson,250
beta_tight_normal_support_probs,0.5,1000,25,fkrb,theta,0.5000,0.485120,-0.014880,-0.029760,0.008589,0.468000,0.501760,bootstrap,250
beta_tight_normal_support_probs,0.5,1000,25,fkrb,mean_1,0.5000,0.464000,-0.036000,-0.072000,0.031604,0.403193,0.525896,wilson,250
beta_tight_normal_support_probs,0.5,1000,25,fkrb,mean_2,0.5000,0.488000,-0.012000,-0.024000,0.031677,0.426690,0.549673,wilson,250
beta_tight_normal_support_probs,0.5,1000,25,cp_wald,theta,0.5000,0.947520,+0.447520,+0.895040,0.003091,0.941280,0.953600,bootstrap,250
beta_tight_normal_support_probs,0.5,1000,25,cp_wald,mean_1,0.5000,1.000000,+0.500000,+1.000000,0.000000,0.984867,1.000000,wilson,250
beta_tight_normal_support_probs,0.5,1000,25,cp_wald,mean_2,0.5000,0.988000,+0.488000,+0.976000,0.006900,0.965319,0.995911,wilson,250
beta_tight_normal_support_probs,0.5,1000,25,qlr,theta,0.5000,0.804640,+0.304640,+0.609280,0.005350,0.794080,0.815200,bootstrap,250
beta_tight_normal_support_probs,0.5,1000,25,qlr,mean_1,0.5000,0.664000,+0.164000,+0.328000,0.029933,0.603359,0.719677,wilson,250
beta_tight_normal_support_probs,0.5,1000,25,qlr,mean_2,0.5000,0.640000,+0.140000,+0.280000,0.030419,0.578795,0.696968,wilson,250
beta_tight_normal_support_probs,0.05,1000,225,fkrb,theta,0.9500,0.900267,-0.049733,-0.052351,0.003148,0.894133,0.906311,bootstrap,250
beta_tight_normal_support_probs,0.05,1000,225,fkrb,mean_1,0.9500,0.972000,+0.022000,+0.023158,0.010455,0.943342,0.986372,wilson,250
beta_tight_normal_support_probs,0.05,1000,225,fkrb,mean_2,0.9500,0.980000,+0.030000,+0.031579,0.008872,0.954044,0.991428,wilson,250
beta_tight_normal_support_probs,0.05,1000,225,cp_wald,theta,0.9500,1.000000,+0.050000,+0.052632,0.000000,1.000000,1.000000,bootstrap,250
beta_tight_normal_support_probs,0.05,1000,225,cp_wald,mean_1,0.9500,1.000000,+0.050000,+0.052632,0.000000,0.984867,1.000000,wilson,250
beta_tight_normal_support_probs,0.05,1000,225,cp_wald,mean_2,0.9500,1.000000,+0.050000,+0.052632,0.000000,0.984867,1.000000,wilson,250
beta_tight_normal_support_probs,0.05,1000,225,qlr,theta,0.9500,0.999982,+0.049982,+0.052613,0.000018,0.999947,1.000000,bootstrap,250
beta_tight_normal_support_probs,0.05,1000,225,qlr,mean_1,0.9500,0.992000,+0.042000,+0.044211,0.005645,0.971305,0.997803,wilson,250
beta_tight_normal_support_probs,0.05,1000,225,qlr,mean_2,0.9500,0.996000,+0.046000,+0.048421,0.004000,0.977694,0.999294,wilson,250
beta_tight_normal_support_probs,0.5,1000,225,fkrb,theta,0.5000,0.454311,-0.045689,-0.091378,0.004488,0.445582,0.463342,bootstrap,250
beta_tight_normal_support_probs,0.5,1000,225,fkrb,mean_1,0.5000,0.504000,+0.004000,+0.008000,0.031685,0.442433,0.565446,wilson,250
beta_tight_normal_support_probs,0.5,1000,225,fkrb,mean_2,0.5000,0.548000,+0.048000,+0.096000,0.031540,0.486045,0.608503,wilson,250
beta_tight_normal_support_probs,0.5,1000,225,cp_wald,theta,0.5000,1.000000,+0.500000,+1.000000,0.000000,1.000000,1.000000,bootstrap,250
beta_tight_normal_support_probs,0.5,1000,225,cp_wald,mean_1,0.5000,1.000000,+0.500000,+1.000000,0.000000,0.984867,1.000000,wilson,250
beta_tight_normal_support_probs,0.5,1000,225,cp_wald,mean_2,0.5000,1.000000,+0.500000,+1.000000,0.000000,0.984867,1.000000,wilson,250
beta_tight_normal_support_probs,0.5,1000,225,qlr,theta,0.5000,0.987964,+0.487964,+0.975929,0.000712,0.986524,0.989333,bootstrap,250
beta_tight_normal_support_probs,0.5,1000,225,qlr,mean_1,0.5000,0.640000,+0.140000,+0.280000,0.030419,0.578795,0.696968,wilson,250
beta_tight_normal_support_probs,0.5,1000,225,qlr,mean_2,0.5000,0.592000,+0.092000,+0.184000,0.031145,0.530133,0.651082,wilson,250
beta_tight_normal_support_probs,0.05,10000,25,fkrb,theta,0.9500,0.947200,-0.002800,-0.002947,0.004051,0.939032,0.954880,bootstrap,250
beta_tight_normal_support_probs,0.05,10000,25,fkrb,mean_1,0.9500,0.964000,+0.014000,+0.014737,0.011806,0.933010,0.980947,wilson,250
beta_tight_normal_support_probs,0.05,10000,25,fkrb,mean_2,0.9500,0.944000,-0.006000,-0.006316,0.014571,0.908209,0.966352,wilson,250
beta_tight_normal_support_probs,0.05,10000,25,cp_wald,theta,0.9500,0.997600,+0.047600,+0.050105,0.000602,0.996320,0.998720,bootstrap,250
beta_tight_normal_support_probs,0.05,10000,25,cp_wald,mean_1,0.9500,1.000000,+0.050000,+0.052632,0.000000,0.984867,1.000000,wilson,250
beta_tight_normal_support_probs,0.05,10000,25,cp_wald,mean_2,0.9500,1.000000,+0.050000,+0.052632,0.000000,0.984867,1.000000,wilson,250
beta_tight_normal_support_probs,0.05,10000,25,qlr,theta,0.9500,0.976960,+0.026960,+0.028379,0.002318,0.972320,0.981440,bootstrap,250
